id,direction,chosenAlt,hhid,pnum,pid,personType,age,cdapActivity,schoolAtHome,schoolMaz,eligible,ArriveInterval,returnInterval,homeSchDist,schHomeDist,ad1Arr,ad1Ret,ad2Dep,ad2Ret,escortType,bundle,childid,chaufid,chaufPnum,chaufPid,chaufPersonType,chaufDArrive,chaufReturn,randNum
1293,2,1,549,4,1427,7,14,1,1,22353,1,17,47,54,54,20,89,19,58,0,0,0,0,0,0,0,0,0,455358903
1294,0,0,550,1,1428,1,33,1,-1,-1,0,26,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1295,0,0,550,2,1429,1,35,1,-1,-1,0,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,1,1,550,3,1430,7,6,1,1,22353,1,22,50,54,54,26,93,20,60,0,0,0,0,0,0,0,0,0,44118979
1297,0,0,550,1,1428,1,33,1,-1,-1,0,58,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1298,0,0,550,2,1429,1,35,1,-1,-1,0,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299,2,1,550,3,1430,7,6,1,1,22353,1,22,50,54,54,58,93,20,60,0,0,0,0,0,0,0,0,0,260430930
1300,0,0,551,1,1431,1,28,1,-1,-1,0,15,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,0,0,551,2,1432,1,30,1,-1,-1,0,20,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,1,29,551,3,1433,8,3,1,1,22623,1,22,52,54,54,20,43,15,55,2,1,1,1,2,1432,1,20,43,971385986
1303,0,0,551,1,1431,1,28,1,-1,-1,0,15,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,0,0,551,2,1432,1,30,1,-1,-1,0,33,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1305,2,1,551,3,1433,8,3,1,1,22623,1,22,52,54,54,33,43,15,55,0,0,0,0,0,0,0,0,0,512921240
1306,0,0,552,1,1434,1,28,1,-1,-1,0,17,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1307,0,0,552,2,1435,1,43,1,-1,-1,0,19,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,1,30,552,3,1436,8,3,1,1,22589,1,18,36,96,96,17,51,19,92,1,1,1,2,2,1435,1,19,92,790852618
1309,0,0,552,1,1434,1,28,1,-1,-1,0,17,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1310,0,0,552,2,1435,1,43,1,-1,-1,0,19,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,2,1,552,3,1436,8,3,1,1,22589,1,18,36,96,96,17,51,19,92,0,0,0,0,0,0,0,0,0,831609525
1312,0,0,553,1,1437,1,54,1,-1,-1,0,22,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,1,1,553,2,1438,7,12,1,1,21051,1,17,40,1735,1735,22,59,23,58,0,0,0,0,0,0,0,0,0,958161860
1314,0,0,553,3,1439,2,35,1,-1,-1,0,23,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,0,0,553,1,1437,1,54,1,-1,-1,0,22,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,2,1,553,2,1438,7,12,1,1,21051,1,17,40,1735,1735,22,59,23,58,0,0,0,0,0,0,0,0,0,677205840
1317,0,0,553,3,1439,2,35,1,-1,-1,0,23,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,0,0,554,1,1440,1,44,1,-1,-1,0,17,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319,0,0,554,2,1441,2,43,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320,1,1,554,3,1442,6,18,1,1,22335,1,19,48,96,96,17,57,0,0,0,0,0,0,0,0,0,0,0,328766388
1321,0,0,554,1,1440,1,44,1,-1,-1,0,17,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322,0,0,554,2,1441,2,43,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1323,2,1,554,3,1442,6,18,1,1,22335,1,19,48,96,96,17,57,0,0,0,0,0,0,0,0,0,0,0,571851295
1324,0,0,568,1,1471,1,36,1,-1,-1,0,18,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1325,0,0,568,2,1472,1,44,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1326,1,1,568,3,1473,7,15,3,1,22335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337756364
1327,1,1,568,4,1474,7,13,1,1,22353,1,13,44,342,342,18,56,0,0,0,0,0,0,0,0,0,0,0,337756364
1328,0,0,568,1,1471,1,36,1,-1,-1,0,18,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1329,0,0,568,2,1472,1,44,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1330,2,1,568,3,1473,7,15,3,1,22335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751313644
1331,2,1,568,4,1474,7,13,1,1,22353,1,13,44,342,342,18,56,0,0,0,0,0,0,0,0,0,0,0,751313644
1332,0,0,569,1,1475,2,42,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1333,0,0,569,2,1476,1,40,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1334,1,1,569,3,1477,8,5,2,1,22104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418667483
1335,1,1,569,4,1478,7,13,1,1,22353,1,21,48,342,342,0,0,0,0,0,0,0,0,0,0,0,0,0,418667483
1336,0,0,569,1,1475,2,42,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1337,0,0,569,2,1476,1,40,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1338,2,1,569,3,1477,8,5,2,1,22104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144794249
1339,2,1,569,4,1478,7,13,1,1,22353,1,21,48,342,342,0,0,0,0,0,0,0,0,0,0,0,0,0,144794249
1340,0,0,570,1,1479,1,39,1,-1,-1,0,28,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341,0,0,570,2,1480,1,42,1,-1,-1,0,46,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1342,1,1,570,3,1481,6,16,1,1,22335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671290270
1343,1,1,570,4,1482,7,11,1,1,25142,1,21,50,1171,1435,28,61,46,55,0,0,0,0,0,0,0,0,0,671290270
1344,0,0,570,1,1479,1,39,1,-1,-1,0,28,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1345,0,0,570,2,1480,1,42,1,-1,-1,0,46,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
