hhid,pnum,pumsSerialNo,persType,persTypeDetailed,age,gender,industry,schlGrade,educLevel,workPlaceType,workPlaceTaz,workPlaceMaz,schoolType,schoolTaz,schoolMaz,dailyActivityPattern,specEvtParticipant,jointTour1Role,jointTour2role,obPeChauffBund1,obPeChauffBund2,obPeChauffBund3,obRsChauffBund,obPePassBund,obRsPassBund,ibPeChauffBund1,ibPeChauffBund2,ibPeChauffBund3,ibRsChauffBund,ibPePassBund,ibRsPassBund,studentDorm,studentRent,activityString
143,2,2.011000471552E12,4,13,63,2,0,0,14,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-61-61-62-72-0]"
144,1,2.009000706048E12,1,1,50,1,44,0,13,1,33,24466,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-72-1-0-5-0]"
144,2,2.009000706048E12,2,4,38,2,62,0,14,2,473,473,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[0-1-412-0-5-0]"
144,3,2.009000706048E12,7,19,11,1,0,4,2,0,0,0,2,33,24466,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
144,4,2.009000706048E12,7,19,7,2,0,3,2,0,0,0,1,56,24451,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[0-3-0]"
146,1,2.008000888832E12,1,1,37,1,51,0,13,2,473,473,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-411-0-62-0-1-0-6-0-9-8-0]"
146,2,2.008000888832E12,1,1,27,2,51,0,9,2,473,473,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0-6-0]"
146,3,2.008000888832E12,8,21,3,1,0,0,1,0,0,0,1,385,23234,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"[0-3-0]"
146,4,2.008000888832E12,8,21,1,1,0,0,0,0,0,0,2,33,24467,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-6-0]"
147,1,2.0070006784E12,1,1,44,1,33,0,9,2,39,24826,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-71-1-73-0]"
147,2,2.0070006784E12,1,1,47,2,62,0,9,2,180,23711,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0]"
148,1,2.009000574976E12,1,1,49,1,56,0,9,2,466,466,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-61-0-1-0-7-0-62-61-0]"
148,2,2.009000574976E12,2,4,47,2,72,0,9,2,171,24618,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-15-0-6-0-7-0]"
148,3,2.009000574976E12,7,19,7,1,0,3,2,0,0,0,1,131,23535,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-9-3-0-8-0-6-0]"
149,1,2.007001071616E12,2,4,43,1,23,0,6,2,378,25630,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[0-15-15-1-412-0]"
