hhid,pnum,parentTourNum,tourSubTourNum,personSubTourNum,parentTourMode,carAvailability,origTaz,origMaz,primDestTaz,primDestMaz,subTourPurp,subTourMode,prelimStartInt,finalStartMin,prelimArriveInt,finalArriveMin,totObStops,totIbStops,obStopSeq,ibStopSeq
621,5,1,2,2,4,0,69,25056,66,25124,15,14,40,591.0,55,813,0,0,"[1-15]","[15-1]"
627,2,2,1,1,1,1,101,22333,206,22363,72,1,37,555.0,41,613,0,0,"[1-72]","[72-1]"
629,2,1,1,1,1,1,114,23081,200,22234,72,1,30,441.0,37,544,0,0,"[1-72]","[72-1]"
639,3,1,1,1,3,1,380,21878,18,22250,62,1,25,362.0,27,404,0,0,"[1-62]","[62-1]"
639,4,1,1,1,1,1,6,23765,100,22658,61,1,34,497.0,34,509,0,0,"[1-61]","[61-1]"
642,1,2,1,1,1,1,144,22988,186,23464,9,1,36,526.0,36,538,0,0,"[1-9]","[9-1]"
653,1,1,1,1,1,1,200,22232,134,23208,62,1,33,483.0,36,526,0,0,"[1-62]","[62-1]"
654,1,1,1,1,4,0,116,22752,94,23444,8,14,32,480.0,33,493,0,0,"[1-8]","[8-1]"
658,1,1,1,1,1,1,166,24549,29,23126,72,3,53,786.0,60,889,0,0,"[1-72]","[72-1]"
661,2,1,1,1,1,1,76,23849,66,25124,72,1,34,504.0,38,561,0,0,"[1-72]","[72-1]"
666,5,1,1,1,2,1,196,22045,145,22113,72,14,35,520.0,36,532,0,0,"[1-72]","[72-1]"
674,3,1,1,1,1,1,393,22506,57,24659,42,2,39,585.0,41,612,0,0,"[1-42]","[42-1]"
676,2,1,1,1,3,1,36,24124,38,24324,72,14,36,539.0,38,567,0,0,"[1-72]","[72-1]"
683,2,1,1,1,2,1,206,22363,18,22250,72,2,45,661.0,48,718,0,0,"[1-72]","[72-1]"
687,1,1,1,1,1,1,66,25124,61,24818,61,14,41,613.0,43,641,0,0,"[1-61]","[61-1]"
694,1,2,1,1,1,1,103,22961,120,22094,9,1,32,467.0,37,555,0,0,"[1-9]","[9-1]"
703,1,1,1,1,4,0,83,24105,66,25124,5,4,39,573.0,40,586,0,0,"[1-5]","[5-1]"
707,2,1,1,1,1,1,119,22330,120,22094,72,14,39,581.0,43,639,0,0,"[1-72]","[72-1]"
710,2,1,1,1,2,1,204,23685,67,25058,72,2,50,748.0,53,791,0,0,"[1-72]","[72-1]"
718,2,1,1,1,1,1,120,22040,145,22113,73,1,35,522.0,40,595,0,0,"[1-73]","[73-1]"
725,1,1,1,1,3,1,4,23952,29,23126,42,3,35,525.0,39,582,0,0,"[1-42]","[42-1]"
733,1,1,1,1,2,1,43,24547,67,25061,72,2,36,534.0,40,592,0,0,"[1-72]","[72-1]"
734,2,1,1,1,2,1,38,24324,20,23851,15,2,37,542.0,39,584,0,0,"[1-15]","[15-1]"
743,2,1,1,1,1,1,77,23920,95,23307,9,1,35,522.0,40,595,0,0,"[1-9]","[9-1]"
746,1,1,1,1,1,1,15,23940,67,25061,72,1,25,374.0,33,492,0,0,"[1-72]","[72-1]"
746,1,1,2,2,1,1,15,23940,174,25163,5,1,36,539.0,39,582,0,0,"[1-5]","[5-1]"
748,2,1,1,1,1,1,206,22394,142,22276,15,1,51,765.0,56,837,0,0,"[1-15]","[15-1]"
750,1,1,1,1,1,1,99,23296,59,24621,62,1,25,370.0,40,593,0,0,"[1-62]","[62-1]"
754,1,1,1,1,1,1,18,22327,200,22386,72,14,36,539.0,44,656,0,0,"[1-72]","[72-1]"
754,1,1,2,2,1,1,18,22327,200,22316,73,14,51,764.0,55,821,0,1,"[1-73]","[73-9-1]"
758,1,1,1,1,1,1,159,21621,381,21874,62,1,36,527.0,43,644,0,0,"[1-62]","[62-1]"
