hhid,direction,obBundleNum,obBundleType,ibBundleNum,ibBundleType,chauffPnum,child1Pnum,child2Pnum,child2Pnum,partySize,party,homeTaz,homeMaz,chauffTourNum,chauffTourPurp,chauffPrimDestTaz,chauffPrimDestMaz,child1TourId,child2TourId,child3TourId,child1PersTripId,child1SchoolTaz,child1SchoolMaz,child2PersTripId,child2SchoolTaz,child2SchoolMaz,child3PersTripId,child3SchoolTaz,child3SchoolMaz,obBundelDepMin,obStop1Min,obStop2Min,obStop3Min,ibStop1Min,ibStop2Min,ibStop3Min,ibBundelerrMin,obBundelDepInt,obStop1Int,obStop2Int,obStop3Int,ibStop1Int,ibStop2Int,ibStop3Int,ibBundelerrInt,numStopsAfterDropoffs
140,1,1,2,0,0,1,2,0,0,2,"[ 1,2 ]",33,23922,1,1,463,463,1,0,0,1,205,25073,0,0,0,0,0,0,18,19,0,0,0,0,0,0,266.50626,273,0,0,0.0,0,0,0,0
140,2,0,0,1,2,1,2,0,0,2,"[ 1,2 ]",33,23922,1,1,33,23922,1,0,0,1,205,25073,0,0,0,0,0,0,0,0,0,0,19,0,0,56,0.0,0,0,0,836.5062,273,0,0,0
144,2,0,0,1,2,2,4,0,0,2,"[ 2,4 ]",33,24466,1,1,33,24466,1,0,0,2,56,24451,0,0,0,0,0,0,0,0,0,0,53,0,0,54,0.0,0,0,0,807.0334,785,0,0,0
146,1,1,1,0,0,1,3,0,0,2,"[ 1,3 ]",33,24467,1,411,385,23234,1,0,0,1,385,23234,0,0,0,0,0,0,16,17,0,0,0,0,0,0,237.71535,246,0,0,0.0,0,0,0,0
149,2,0,0,1,2,1,3,0,0,2,"[ 1,3 ]",34,24151,1,1,34,24151,1,0,0,2,358,26241,0,0,0,0,0,0,0,0,0,0,54,0,0,55,0.0,0,0,0,820.81195,806,0,0,0
150,1,1,2,0,0,1,3,4,0,3,"[ 1,3,4 ]",34,24151,1,1,57,24801,1,1,0,1,358,26241,2,78,24009,0,0,0,18,20,22,0,0,0,0,0,269.84662,291,326,0,0.0,0,0,0,0
150,2,0,0,1,1,2,4,0,0,2,"[ 2,4 ]",34,24151,2,411,78,24009,1,0,0,2,78,24009,0,0,0,0,0,0,0,0,0,0,22,0,0,49,0.0,0,0,0,734.8466,326,0,0,0
152,2,0,0,1,1,2,3,0,0,2,"[ 2,3 ]",34,24173,2,411,358,26241,1,0,0,2,358,26241,0,0,0,0,0,0,0,0,0,0,51,0,0,51,0.0,0,0,0,756.2701,760,0,0,0
154,1,1,1,0,0,1,4,3,0,3,"[ 1,4,3 ]",36,24124,1,411,44,25072,1,1,0,1,44,25072,2,53,24076,0,0,0,18,18,19,0,0,0,0,0,263.8238,269,282,0,0.0,0,0,0,0
154,2,0,0,1,1,1,4,0,0,2,"[ 1,4 ]",36,24124,2,411,44,25072,1,0,0,1,44,25072,0,0,0,0,0,0,0,0,0,0,18,0,0,41,0.0,0,0,0,608.8238,269,0,0,0
169,1,1,1,0,0,2,3,0,0,2,"[ 2,3 ]",38,24323,1,411,123,22046,1,0,0,1,123,22046,0,0,0,0,0,0,18,19,0,0,0,0,0,0,265.31738,279,0,0,0.0,0,0,0,0
173,1,1,1,0,0,1,3,0,0,2,"[ 1,3 ]",38,24474,1,411,393,22335,1,0,0,1,393,22335,0,0,0,0,0,0,18,19,0,0,0,0,0,0,264.47278,276,0,0,0.0,0,0,0,0
173,1,2,1,0,0,1,4,0,0,2,"[ 1,4 ]",38,24474,2,411,44,25072,1,0,0,1,44,25072,0,0,0,0,0,0,22,22,0,0,0,0,0,0,324.47278,329,0,0,0.0,0,0,0,0
173,2,0,0,1,1,1,3,0,0,2,"[ 1,3 ]",38,24474,3,411,393,22335,1,0,0,1,393,22335,0,0,0,0,0,0,0,0,0,0,19,0,0,49,0.0,0,0,0,729.4728,276,0,0,1
173,1,3,1,0,0,2,5,0,0,2,"[ 2,5 ]",38,24474,1,411,44,25235,1,0,0,1,44,25235,0,0,0,0,0,0,23,23,0,0,0,0,0,0,339.47278,344,0,0,0.0,0,0,0,0
173,2,0,0,2,1,2,5,0,0,2,"[ 2,5 ]",38,24474,2,411,44,25235,1,0,0,1,44,25235,0,0,0,0,0,0,0,0,0,0,23,0,0,56,0.0,0,0,0,834.4728,344,0,0,0
