hhid,jointTourNum,chauffPnum,passPnums,partySize,partyType,party,origTaz,origMaz,primaryDestTaz,primaryDestMaz,tourPurpose,chauffTourMode,passTourMode,prelimDepartInterval,finalDepartMinute,prelimArriveInterval,finalArriveMinute,totalObStops,totalIbStops,obStopSeq,ibStopSeq
1745,1,1,"[ 4 ]",2,3,"[ 1,4 ]",331,26674,333,26729,6,2,4,62,916.0,69,1030,0,3,"[0-6]","[6-7-6-6-0]"
1762,1,1,"[ 2 ]",2,1,"[ 1,2 ]",334,26731,376,26843,7,2,4,79,1174.0,86,1289,0,1,"[0-7]","[7-6-0]"
1784,1,1,"[ 2 ]",2,1,"[ 1,2 ]",339,26251,339,26322,9,2,4,18,265.0,28,409,0,0,"[0-9]","[9-0]"
1788,1,4,"[ 3,1,2 ]",4,1,"[ 4,3,1,2 ]",341,26410,338,26610,7,3,4,45,661.0,67,1001,0,0,"[0-7]","[7-0]"
1789,1,1,"[ 2,5,3 ]",4,3,"[ 1,2,5,3 ]",341,26418,331,26528,6,3,4,56,826.0,61,911,0,1,"[0-6]","[6-7-0]"
1789,2,1,"[ 4 ]",2,3,"[ 1,4 ]",341,26418,320,25880,8,2,4,64,946.0,72,1076,0,0,"[0-8]","[8-0]"
1794,1,2,"[ 3 ]",2,1,"[ 2,3 ]",344,25749,134,23283,6,2,4,63,931.0,67,1001,0,4,"[0-6]","[6-8-6-6-6-0]"
1822,1,1,"[ 2 ]",2,1,"[ 1,2 ]",352,26142,174,25163,5,2,4,60,887.0,74,1106,0,4,"[0-5]","[5-6-5-5-5-0]"
1823,1,1,"[ 5,4 ]",3,3,"[ 1,5,4 ]",353,26183,66,25099,7,3,4,73,1090.0,78,1160,0,3,"[0-7]","[7-5-6-5-0]"
1833,1,1,"[ 3 ]",2,3,"[ 1,3 ]",355,25803,45,25403,5,2,4,66,990.0,70,1044,0,0,"[0-5]","[5-0]"
1840,1,1,"[ 4 ]",2,1,"[ 1,4 ]",357,25759,357,25889,5,3,4,56,832.0,68,1007,0,2,"[0-5]","[5-5-5-0]"
1841,1,1,"[ 2 ]",2,3,"[ 1,2 ]",357,25759,356,25756,9,2,4,55,818.0,72,1068,0,0,"[0-9]","[9-0]"
1842,1,2,"[ 4 ]",2,3,"[ 2,4 ]",357,25759,357,25759,7,14,14,66,983.0,76,1127,0,0,"[0-7]","[7-0]"
1861,1,1,"[ 2 ]",2,1,"[ 1,2 ]",361,26427,174,25163,5,2,4,29,428.0,40,587,2,2,"[0-5-5-5]","[5-5-5-0]"
1862,1,1,"[ 2 ]",2,1,"[ 1,2 ]",361,26556,66,25124,6,2,4,41,608.0,53,782,0,5,"[0-6]","[6-5-5-5-5-5-0]"
1863,1,2,"[ 3 ]",2,3,"[ 2,3 ]",361,26558,65,25451,9,2,4,61,902.0,68,1017,0,0,"[0-9]","[9-0]"
1868,1,1,"[ 4 ]",2,1,"[ 1,4 ]",363,26348,59,24558,6,3,4,47,695.0,58,870,0,5,"[0-6]","[6-5-5-6-5-6-0]"
1873,1,1,"[ 2 ]",2,1,"[ 1,2 ]",365,25761,186,23441,7,2,4,63,943.0,73,1087,0,4,"[0-7]","[7-5-8-5-5-0]"
1875,1,1,"[ 3 ]",2,1,"[ 1,3 ]",365,25812,18,22250,5,2,4,57,842.0,59,881,0,0,"[0-5]","[5-0]"
1875,2,1,"[ 2 ]",2,3,"[ 1,2 ]",365,25812,67,24953,9,3,4,62,917.0,70,1046,2,1,"[0-5-5-9]","[9-5-0]"
1882,1,1,"[ 4 ]",2,3,"[ 1,4 ]",367,25776,174,25159,5,3,4,68,1019.0,73,1088,0,2,"[0-5]","[5-5-5-0]"
1887,1,2,"[ 5 ]",2,3,"[ 2,5 ]",368,25771,86,24701,6,2,4,52,772.0,62,917,0,2,"[0-6]","[6-7-6-0]"
1889,1,5,"[ 4 ]",2,3,"[ 5,4 ]",369,25911,134,23208,6,3,4,63,934.0,68,1018,0,0,"[0-6]","[6-0]"
1890,1,1,"[ 3 ]",2,1,"[ 1,3 ]",369,25911,86,24701,6,2,4,41,611.0,49,725,0,2,"[0-6]","[6-9-5-0]"
1890,2,2,"[ 1 ]",2,1,"[ 2,1 ]",369,25911,369,25909,9,2,4,52,776.0,54,800,0,0,"[0-9]","[9-0]"
1898,1,1,"[ 2 ]",2,3,"[ 1,2 ]",372,26423,18,22250,6,2,4,54,799.0,58,869,0,1,"[0-6]","[6-8-0]"
1900,1,1,"[ 2 ]",2,1,"[ 1,2 ]",379,21622,151,21930,9,2,4,63,943.0,69,1027,0,0,"[0-9]","[9-0]"
1904,1,1,"[ 2 ]",2,3,"[ 1,2 ]",379,21622,379,21722,8,2,4,66,987.0,72,1071,0,0,"[0-8]","[8-0]"
1906,1,1,"[ 4 ]",2,3,"[ 1,4 ]",379,21625,18,22250,5,3,4,7,103.0,14,202,0,3,"[0-5]","[5-7-7-5-0]"
1909,1,2,"[ 3 ]",2,3,"[ 2,3 ]",379,21631,159,21621,7,3,4,61,911.0,72,1070,2,2,"[0-5-5-7]","[7-9-5-0]"
1932,1,1,"[ 3 ]",2,3,"[ 1,3 ]",379,21737,18,22250,5,2,4,30,440.0,39,585,1,3,"[0-5-5]","[5-5-5-5-0]"
1932,2,1,"[ 3 ]",2,3,"[ 1,3 ]",379,21737,160,21669,8,14,14,58,860.0,70,1050,0,0,"[0-8]","[8-0]"
1951,1,1,"[ 4 ]",2,3,"[ 1,4 ]",383,22682,118,22167,8,2,4,60,898.0,70,1043,1,4,"[0-7-8]","[8-9-6-6-5-0]"
1954,1,2,"[ 3,5,1 ]",4,3,"[ 2,3,5,1 ]",383,22682,134,23208,6,3,4,57,848.0,63,932,2,0,"[0-6-7-6]","[6-0]"
1956,1,1,"[ 4 ]",2,1,"[ 1,4 ]",384,23062,61,24818,6,2,4,63,932.0,74,1106,0,5,"[0-6]","[6-6-6-6-5-7-0]"
1956,2,3,"[ 4 ]",2,1,"[ 3,4 ]",384,23062,145,22113,5,3,4,27,392.0,32,476,0,2,"[0-5]","[5-6-5-0]"
1957,1,3,"[ 4 ]",2,2,"[ 3,4 ]",384,23063,17,23643,7,14,14,61,913.0,65,967,0,1,"[0-7]","[7-5-0]"
1966,1,1,"[ 3 ]",2,3,"[ 1,3 ]",384,23139,18,22250,5,3,4,52,772.0,65,961,2,3,"[0-5-7-5]","[5-5-5-5-0]"
1966,2,1,"[ 2 ]",2,3,"[ 1,2 ]",384,23139,134,23208,6,2,4,71,1057.0,75,1111,0,5,"[0-6]","[6-7-6-6-5-6-0]"
1975,1,1,"[ 2 ]",2,1,"[ 1,2 ]",385,23268,134,23208,7,2,4,61,901.0,81,1210,1,3,"[0-6-7]","[7-6-6-5-0]"
1976,1,1,"[ 3 ]",2,3,"[ 1,3 ]",385,23268,131,23543,8,2,4,61,915.0,66,985,1,0,"[0-6-8]","[8-0]"
2014,1,1,"[ 2,4 ]",3,3,"[ 1,2,4 ]",388,21612,66,25124,7,3,4,59,880.0,72,1069,0,2,"[0-7]","[7-5-5-0]"
2021,1,1,"[ 3 ]",2,3,"[ 1,3 ]",391,25168,134,23208,6,3,4,30,440.0,35,525,0,5,"[0-6]","[6-6-6-7-5-5-0]"
2048,1,1,"[ 2 ]",2,1,"[ 1,2 ]",250,20262,281,20595,5,3,4,58,864.0,66,979,0,5,"[0-5]","[5-9-8-5-6-5-0]"
2051,1,2,"[ 1 ]",2,1,"[ 2,1 ]",250,20286,250,20443,6,3,4,28,419.0,39,578,0,5,"[0-6]","[6-5-6-5-5-6-0]"
2061,1,2,"[ 5 ]",2,3,"[ 2,5 ]",250,20498,265,20861,9,2,4,62,923.0,68,1007,0,0,"[0-9]","[9-0]"
2066,1,1,"[ 4 ]",2,3,"[ 1,4 ]",251,20401,281,20595,5,3,4,38,563.0,42,618,0,0,"[0-5]","[5-0]"
2069,1,1,"[ 2 ]",2,1,"[ 1,2 ]",251,20465,250,20262,9,3,4,17,243.0,26,387,2,2,"[0-9-5-9]","[9-7-7-0]"
2069,2,2,"[ 3 ]",2,3,"[ 2,3 ]",251,20465,281,20592,9,3,4,49,723.0,67,1002,0,4,"[0-9]","[9-5-7-6-7-0]"
2072,1,2,"[ 3 ]",2,3,"[ 2,3 ]",251,20504,261,20223,6,2,4,31,465.0,41,609,1,4,"[0-9-6]","[6-7-8-7-9-0]"
2088,1,1,"[ 2 ]",2,3,"[ 1,2 ]",260,20525,266,20627,9,2,4,57,850.0,68,1010,0,4,"[0-9]","[9-6-9-5-6-0]"
2094,1,1,"[ 2 ]",2,1,"[ 1,2 ]",373,26641,392,25447,8,3,4,63,941.0,78,1160,0,1,"[0-8]","[8-6-0]"
