hhid,jointTourNum,chauffPnum,passPnums,partySize,partyType,party,origTaz,origMaz,primaryDestTaz,primaryDestMaz,tourPurpose,chauffTourMode,passTourMode,prelimDepartInterval,finalDepartMinute,prelimArriveInterval,finalArriveMinute,totalObStops,totalIbStops,obStopSeq,ibStopSeq
264,1,1,"[ 2 ]",2,1,"[ 1,2 ]",55,24452,18,22250,5,3,4,28,419.0,37,549,2,3,"[0-7-6-5]","[5-5-5-5-0]"
264,2,1,"[ 3 ]",2,3,"[ 1,3 ]",55,24452,134,23159,8,2,4,62,929.0,78,1164,0,0,"[0-8]","[8-0]"
265,1,1,"[ 3 ]",2,1,"[ 1,3 ]",57,24306,186,23464,7,2,4,52,770.0,63,945,0,5,"[0-7]","[7-5-5-5-5-5-0]"
274,1,2,"[ 5,6,3 ]",4,3,"[ 2,5,6,3 ]",57,24712,174,25197,5,3,4,55,819.0,64,948,0,3,"[0-5]","[5-5-5-5-0]"
281,1,1,"[ 4 ]",2,3,"[ 1,4 ]",57,24755,134,23283,6,2,4,62,925.0,64,949,0,1,"[0-6]","[6-6-0]"
282,1,1,"[ 5 ]",2,3,"[ 1,5 ]",57,24800,66,25124,7,2,4,61,902.0,70,1047,0,2,"[0-7]","[7-5-6-0]"
284,1,1,"[ 4,5 ]",3,3,"[ 1,4,5 ]",58,24832,134,23155,6,3,4,61,908.0,68,1007,5,0,"[0-6-8-6-6-6-6]","[6-0]"
286,1,1,"[ 2 ]",2,1,"[ 1,2 ]",58,24857,174,25163,5,3,4,70,1048.0,77,1148,0,5,"[0-5]","[5-7-5-6-6-5-0]"
292,1,1,"[ 2 ]",2,1,"[ 1,2 ]",58,24881,59,24650,6,2,4,52,768.0,61,913,1,3,"[0-6-6]","[6-6-7-5-0]"
292,2,2,"[ 4,3 ]",3,3,"[ 2,4,3 ]",58,24881,66,25124,5,3,4,25,363.0,38,568,5,0,"[0-5-7-5-5-5-5]","[5-0]"
299,1,1,"[ 2 ]",2,1,"[ 1,2 ]",63,25093,92,23756,6,3,4,34,497.0,51,762,0,4,"[0-6]","[6-5-7-7-5-0]"
305,1,1,"[ 2 ]",2,1,"[ 1,2 ]",63,25122,134,23208,6,2,4,55,819.0,61,904,0,5,"[0-6]","[6-6-7-7-7-7-0]"
307,1,1,"[ 3 ]",2,3,"[ 1,3 ]",63,25141,172,25193,9,2,4,62,919.0,71,1063,0,5,"[0-9]","[9-6-5-7-7-5-0]"
309,1,1,"[ 2 ]",2,1,"[ 1,2 ]",64,25485,174,25163,5,3,4,55,824.0,67,999,1,4,"[0-5-5]","[5-7-5-7-5-0]"
310,1,1,"[ 6,2,3 ]",4,3,"[ 1,6,2,3 ]",64,25485,48,25470,9,3,4,64,958.0,71,1058,0,0,"[0-9]","[9-0]"
310,2,2,"[ 3,5,6 ]",4,3,"[ 2,3,5,6 ]",64,25485,174,25163,5,3,4,34,508.0,40,593,0,4,"[0-5]","[5-5-7-7-6-0]"
318,1,1,"[ 2 ]",2,1,"[ 1,2 ]",65,25346,174,25197,5,2,4,19,276.0,29,421,0,4,"[0-5]","[5-5-5-5-5-0]"
319,1,2,"[ 4,3 ]",3,3,"[ 2,4,3 ]",65,25388,174,25163,5,3,4,31,464.0,43,638,0,5,"[0-5]","[5-6-5-7-5-5-0]"
329,1,1,"[ 3 ]",2,3,"[ 1,3 ]",65,25449,174,25163,5,2,4,33,494.0,38,564,0,2,"[0-5]","[5-5-7-0]"
329,2,1,"[ 4 ]",2,3,"[ 1,4 ]",65,25449,59,24650,6,2,4,47,704.0,53,789,0,3,"[0-6]","[6-6-5-7-0]"
357,1,1,"[ 3,6,4,7,8 ]",6,3,"[ 1,3,6,4,7,8 ]",77,24002,178,23542,7,3,4,62,917.0,74,1107,0,0,"[0-7]","[7-0]"
357,2,3,"[ 6,7 ]",3,3,"[ 3,6,7 ]",77,24002,15,23891,8,3,4,50,737.0,53,792,1,0,"[0-8-8]","[8-0]"
361,1,4,"[ 2 ]",2,3,"[ 4,2 ]",78,24001,134,23159,6,2,4,63,931.0,73,1090,5,0,"[0-6-6-6-7-6-6]","[6-0]"
366,1,2,"[ 3 ]",2,3,"[ 2,3 ]",78,24067,174,25163,5,2,4,31,455.0,46,689,1,4,"[0-6-5]","[5-7-7-7-5-0]"
370,1,2,"[ 1 ]",2,1,"[ 2,1 ]",78,24140,61,24818,6,14,14,29,422.0,34,506,0,4,"[0-6]","[6-5-5-5-5-0]"
382,1,2,"[ 1 ]",2,1,"[ 2,1 ]",78,24251,134,23283,6,3,4,36,536.0,42,620,0,1,"[0-6]","[6-5-0]"
386,1,1,"[ 4 ]",2,3,"[ 1,4 ]",78,24342,76,23849,9,2,4,51,757.0,76,1127,1,0,"[0-9-9]","[9-0]"
387,1,1,"[ 2 ]",2,1,"[ 1,2 ]",78,24392,94,23540,9,2,4,54,809.0,75,1118,2,3,"[0-9-9-9]","[9-7-5-5-0]"
391,1,1,"[ 5 ]",2,3,"[ 1,5 ]",78,24427,184,23343,6,2,4,57,855.0,60,895,0,4,"[0-6]","[6-5-6-6-8-0]"
391,2,2,"[ 5 ]",2,3,"[ 2,5 ]",78,24427,174,25197,5,3,4,62,930.0,71,1060,4,0,"[0-5-5-5-5-5]","[5-0]"
392,1,1,"[ 2 ]",2,1,"[ 1,2 ]",78,24428,207,22179,5,2,4,33,481.0,61,911,1,4,"[0-6-5]","[5-5-7-5-9-0]"
393,1,1,"[ 2 ]",2,1,"[ 1,2 ]",78,24428,67,25061,5,3,4,57,844.0,64,958,3,1,"[0-5-9-5-5]","[5-6-0]"
401,1,1,"[ 2,3,4 ]",4,3,"[ 1,2,3,4 ]",79,24310,392,25447,9,3,4,56,837.0,73,1087,1,0,"[0-6-9]","[9-0]"
421,1,1,"[ 3,2 ]",3,1,"[ 1,3,2 ]",80,24053,174,25163,5,3,4,26,382.0,45,662,0,5,"[0-5]","[5-6-5-7-9-5-0]"
430,1,2,"[ 3 ]",2,3,"[ 2,3 ]",81,23824,145,22113,5,2,4,69,1026.0,74,1110,3,2,"[0-6-6-6-5]","[5-6-7-0]"
450,1,1,"[ 2 ]",2,3,"[ 1,2 ]",83,24469,63,25122,5,3,4,9,125.0,19,285,1,2,"[0-5-5]","[5-5-5-0]"
460,1,1,"[ 2 ]",2,3,"[ 1,2 ]",87,24788,83,24105,6,3,4,59,872.0,60,896,0,0,"[0-6]","[6-0]"
467,1,1,"[ 2 ]",2,1,"[ 1,2 ]",88,25316,17,23643,5,2,4,34,501.0,44,646,2,2,"[0-5-5-5]","[5-5-5-0]"
472,1,1,"[ 2 ]",2,3,"[ 1,2 ]",89,23698,100,22658,6,3,4,61,912.0,67,996,0,4,"[0-6]","[6-5-7-6-6-0]"
477,1,1,"[ 5,3 ]",3,3,"[ 1,5,3 ]",91,25546,144,22884,6,3,4,54,810.0,61,910,2,0,"[0-5-5-6]","[6-0]"
477,2,2,"[ 5,4 ]",3,3,"[ 2,5,4 ]",91,25546,167,24667,5,3,4,62,930.0,67,1000,1,0,"[0-5-5]","[5-0]"
481,1,1,"[ 3 ]",2,3,"[ 1,3 ]",94,23653,134,23283,6,14,14,61,907.0,73,1081,1,4,"[0-6-6]","[6-6-6-7-7-0]"
485,1,2,"[ 4,3 ]",3,3,"[ 2,4,3 ]",95,23263,18,22250,5,3,4,36,536.0,41,606,0,5,"[0-5]","[5-5-5-9-5-5-0]"
485,2,2,"[ 4,3 ]",3,3,"[ 2,4,3 ]",95,23263,83,24617,8,3,4,48,716.0,73,1086,1,3,"[0-7-8]","[8-6-6-7-0]"
487,1,2,"[ 3 ]",2,3,"[ 2,3 ]",95,23307,60,24773,5,5,5,33,486.0,37,555,3,1,"[0-7-6-5-5]","[5-6-0]"
489,1,2,"[ 3 ]",2,3,"[ 2,3 ]",95,23351,67,25061,7,14,14,71,1054.0,75,1123,0,1,"[0-7]","[7-5-0]"
489,2,3,"[ 4 ]",2,2,"[ 3,4 ]",95,23351,193,22267,5,14,14,57,844.0,60,898,0,0,"[0-5]","[5-0]"
492,1,1,"[ 2 ]",2,1,"[ 1,2 ]",95,23383,18,22327,5,5,5,35,520.0,40,589,1,3,"[0-9-5]","[5-5-5-5-0]"
