uniqueid,jointTripNum,hhid,pnum,userClass,tourNum,tourSubTourNum,personTripNum,tourTripNum,mainTourTripNum,subTourTripNum,jointTourNum,jointTripRole,direction,obBundleNum,ibBundleNum,escortingRole,jointSpecEvtTour,party,origTaz,origMaz,destTaz,destMaz,origPurp,destPurp,mode,prelimDepartInterval,finalDepartMinute,tripDistance,prelimArriveInterval,finalArriveMinute,activityMinutesAtDest,pnrParkTaz,pnrParkMaz, vot
11,0,12,3,3,1,0,4,4,4,0,0,0,2,0,0,0,0,"[ 3 ]",67,25058,14,23662,73,0,14,79,1166.9000513217584,3.00,79,1226.90,196.00,0,0,2.6047129134958658
12,0,12,4,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 4 ]",14,23662,53,24076,0,3,14,16,225.40005132175838,0.97,16,244.60,423.70,0,0,3.5402210608624567
13,0,12,4,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 4 ]",53,24076,14,23662,3,0,14,46,675.4000513217584,0.97,46,694.80,728.10,0,0,3.5402210608624567
14,0,12,5,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 5 ]",14,23662,94,23540,0,3,17,17,240.40005132175838,1.32,17,244.25,739.05,0,0,8.349099814555505
15,0,12,5,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 5 ]",94,23540,57,24306,3,61,17,67,990.4000513217584,1.83,67,995.55,-3.59,0,0,8.349099814555505
16,0,12,5,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 5 ]",57,24306,206,22363,61,9,17,68,999.0600244662896,4.12,68,1010.45,-5.25,0,0,8.349099814555505
17,0,12,5,3,1,0,4,4,4,0,0,0,2,0,0,0,0,"[ 5 ]",206,22363,164,23042,9,8,17,68,1012.3000757358209,2.48,69,1018.81,-3.65,0,0,8.349099814555505
18,0,12,5,3,1,0,5,5,5,0,0,0,2,0,0,0,0,"[ 5 ]",164,23042,14,23662,8,0,17,69,1022.2600366733209,1.78,69,1026.88,396.02,0,0,8.349099814555505
1,0,13,1,2,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",14,23664,174,25163,0,1,5,18,256.85204469814096,3.26,18,301.38,474.82,0,0,9.311369668743195
2,0,13,1,2,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",174,25163,14,23664,1,0,5,53,781.852044698141,3.26,53,825.67,-19.47,0,0,9.311369668743195
3,0,13,1,2,2,0,3,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",14,23664,174,25163,0,1,1,55,811.852044698141,3.26,55,819.58,276.30,0,0,9.311369668743195
4,0,13,1,2,2,0,4,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",174,25163,8,23869,1,15,1,74,1101.5320984090786,2.66,75,1107.50,-1.30,0,0,9.311369668743195
5,0,13,1,2,2,0,5,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",8,23869,92,23756,15,61,1,75,1111.852044698141,0.39,75,1113.26,-1.28,0,0,9.311369668743195
6,0,13,1,2,2,0,6,4,4,0,0,0,2,0,0,0,0,"[ 1 ]",92,23756,14,23664,61,0,1,75,1117.632073995016,0.87,76,1120.49,303.86,0,0,9.311369668743195
7,1,13,2,3,1,0,1,1,1,0,0,0,1,1,0,1,0,"[ 2,5 ]",14,23664,384,23100,0,411,3,20,286.85204469814096,1.60,20,291.25,-1.85,0,0,23.925414848997878
8,0,13,2,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 2 ]",384,23100,14,23664,411,0,3,21,295.0520569051722,1.44,21,299.48,401.72,0,0,23.925414848997878
9,0,13,2,3,2,0,3,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",14,23664,384,23100,0,411,3,48,706.852044698141,1.60,48,711.32,-1.92,0,0,23.925414848997878
10,2,13,2,3,2,0,4,2,2,0,0,0,2,0,1,1,0,"[ 2,5 ]",384,23100,14,23664,411,0,3,49,715.0520569051722,1.44,49,719.59,704.76,0,0,23.925414848997878
11,0,13,3,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",14,23664,53,24076,0,3,14,18,256.85204469814096,0.97,18,276.05,395.15,0,0,2.98649731248211
12,0,13,3,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 3 ]",53,24076,14,23664,3,0,14,46,676.852044698141,0.97,46,696.25,4.95,0,0,2.98649731248211
13,0,13,3,3,2,0,3,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",14,23664,14,23758,0,61,14,48,706.852044698141,0.14,48,709.65,-13.73,0,0,2.98649731248211
14,0,13,3,3,2,0,4,2,2,0,0,0,2,0,0,0,0,"[ 3 ]",14,23758,14,23664,61,0,14,48,701.572015401266,0.14,48,704.37,719.98,0,0,2.98649731248211
15,0,13,4,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 4 ]",14,23664,53,24076,0,3,14,17,241.85204469814096,0.97,17,261.05,515.15,0,0,3.8807401376309074
16,0,13,4,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 4 ]",53,24076,14,23664,3,0,14,53,781.852044698141,0.97,53,801.25,19.95,0,0,3.8807401376309074
17,0,13,4,1,2,0,3,1,1,0,0,0,1,0,0,0,0,"[ 4 ]",14,23664,385,23234,0,1,1,56,826.852044698141,1.54,56,831.13,245.07,0,0,6.237076775564886
18,0,13,4,1,2,0,4,2,2,0,0,0,2,0,0,0,0,"[ 4 ]",385,23234,14,23664,1,0,1,73,1081.852044698141,1.54,73,1086.14,338.21,0,0,6.237076775564886
19,1,13,5,3,1,0,1,1,1,0,0,0,1,1,0,2,0,"[ 2,5 ]",14,23664,384,23100,0,3,4,20,286.85204469814096,1.60,20,291.25,418.15,0,0,22.46901463336459
20,2,13,5,3,1,0,2,2,2,0,0,0,2,0,1,2,0,"[ 2,5 ]",384,23100,14,23664,3,0,4,49,715.0520569051722,1.44,49,719.59,704.76,0,0,22.46901463336459
1,0,14,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",14,23725,117,22133,0,72,2,38,559.3703211962348,4.40,39,570.28,81.08,0,0,1.4688885660971862
2,0,14,1,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",117,22133,18,22250,72,61,2,44,654.4903163134223,3.64,45,660.26,3.38,0,0,1.4688885660971862
3,0,14,1,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",18,22250,14,23725,61,0,2,45,666.7703456102973,3.80,46,676.77,750.10,0,0,1.4688885660971862
1,0,15,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",14,23725,134,23283,0,62,1,33,494.56445159236216,1.17,33,497.88,142.48,0,0,12.290468823846245
2,0,15,1,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",134,23283,208,22473,62,61,1,42,633.3044418267372,2.01,43,639.13,10.25,0,0,12.290468823846245
3,0,15,1,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",208,22473,67,25058,61,72,1,43,642.3244613579872,5.30,44,656.56,8.42,0,0,12.290468823846245
4,0,15,1,3,1,0,4,4,4,0,0,0,2,0,0,0,0,"[ 1 ]",67,25058,67,25058,72,73,1,44,657.9244369439247,0.32,44,658.83,11.79,0,0,12.290468823846245
5,0,15,1,3,1,0,5,5,5,0,0,0,2,0,0,0,0,"[ 1 ]",67,25058,14,23725,73,0,1,44,663.5644515923622,3.00,45,670.78,340.84,0,0,12.290468823846245
6,0,15,1,3,2,0,6,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",14,23725,67,25061,0,9,1,67,1004.5644515923622,3.00,67,1011.50,109.12,0,0,12.290468823846245
7,0,15,1,3,2,0,7,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",67,25061,14,23725,9,0,1,74,1113.5644515923623,3.00,75,1120.57,316.49,0,0,12.290468823846245
1,0,17,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",14,23758,18,22250,0,5,1,29,423.6598544038801,3.80,30,433.58,45.58,0,0,13.789376516149805
2,0,17,1,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",18,22250,17,23643,5,5,1,33,482.99988125934885,2.55,33,489.24,0.02,0,0,13.789376516149805
3,0,17,1,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",17,23643,184,23343,5,9,1,34,493.0998873628645,2.44,34,499.06,0.08,0,0,13.789376516149805
4,0,17,1,3,1,0,4,4,4,0,0,0,2,0,0,0,0,"[ 1 ]",184,23343,18,22250,9,61,1,34,502.979892245677,4.04,35,513.64,-1.42,0,0,13.789376516149805
5,0,17,1,3,1,0,5,5,5,0,0,0,2,0,0,0,0,"[ 1 ]",18,22250,14,23758,61,0,1,35,516.0598788179426,3.80,36,526.06,328.76,0,0,13.789376516149805
6,0,17,1,3,2,0,6,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",14,23758,134,23283,0,8,1,58,858.6598544038801,1.17,58,861.98,75.50,0,0,13.789376516149805
7,0,17,1,3,2,0,7,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",134,23283,14,23758,8,0,1,64,941.3198275484114,1.17,64,944.64,481.52,0,0,13.789376516149805
1,0,18,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",14,23758,18,22250,0,5,1,27,402.60796753547385,3.80,28,412.53,109.55,0,0,1.1207605162798389
2,0,18,1,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",18,22250,67,25061,5,61,1,35,516.9679834046145,6.80,36,534.05,6.63,0,0,1.1207605162798389
3,0,18,1,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",67,25061,92,23753,61,61,1,36,535.5679895081302,2.65,36,542.17,8.81,0,0,1.1207605162798389
4,0,18,1,3,1,0,4,4,4,0,0,0,2,0,0,0,0,"[ 1 ]",92,23753,14,23758,61,0,1,37,545.8679773010989,0.87,37,548.86,83.86,0,0,1.1207605162798389
5,0,18,1,3,2,0,5,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",14,23758,18,22250,0,5,1,42,627.6079675354739,3.80,43,637.53,42.59,0,0,1.1207605162798389
6,0,18,1,3,2,0,6,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",18,22250,14,23758,5,0,1,45,675.0079919495364,3.80,46,685.01,750.10,0,0,1.1207605162798389
1,0,20,1,2,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",14,23758,135,23594,0,1,15,19,275.49827074383774,0.65,19,278.75,498.19,0,0,19.282376584514374
2,0,20,1,2,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",135,23594,35,24152,1,15,15,53,778.9382731852439,0.78,53,782.84,0.66,0,0,19.282376584514374
3,0,20,1,2,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",35,24152,14,23758,15,0,15,53,785.4982707438377,0.73,53,789.15,39.35,0,0,19.282376584514374
4,0,20,1,2,2,0,4,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",14,23758,1,23769,0,15,15,56,830.4982707438377,0.44,56,832.70,-3.70,0,0,19.282376584514374
5,0,20,1,2,2,0,5,2,2,0,0,0,1,0,0,0,0,"[ 1 ]",1,23769,1,23769,15,15,15,56,830.9982707438377,0.05,56,831.25,3.39,0,0,19.282376584514374
6,0,20,1,2,2,0,6,3,3,0,0,0,1,0,0,0,0,"[ 1 ]",1,23769,135,23594,15,1,15,56,836.6382853922752,0.35,56,838.39,95.11,0,0,19.282376584514374
7,0,20,1,2,2,0,7,4,4,0,0,0,2,0,0,0,0,"[ 1 ]",135,23594,14,23758,1,0,15,63,935.4982707438377,0.65,63,938.75,129.75,0,0,19.282376584514374
8,0,20,1,3,3,0,8,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",14,23758,198,22823,0,42,2,72,1070.4982707438378,3.42,72,1079.34,-22.08,0,0,16.4112343747861
9,0,20,1,3,3,0,9,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",198,22823,14,23758,42,0,2,71,1059.2582805094628,3.12,72,1068.18,359.82,0,0,16.4112343747861
10,1,20,2,2,1,0,1,1,1,0,0,0,1,1,0,1,0,"[ 2,5 ]",14,23758,384,23100,0,412,2,18,260.49827074383774,1.60,18,264.90,1.80,0,0,31.025396205629217
11,0,20,2,2,1,0,2,2,2,0,0,0,1,0,0,0,0,"[ 2 ]",384,23100,150,22212,412,1,1,19,268.698282950869,2.20,19,274.12,299.38,0,0,31.025396205629217
12,0,20,2,3,1,1,3,1,0,1,0,0,1,0,0,0,0,"[ 2 ]",150,22212,207,22179,1,72,14,39,575.4982707438377,0.59,39,587.30,42.52,0,0,35.12627477398058
13,0,20,2,3,1,1,4,2,0,2,0,0,2,0,0,0,0,"[ 2 ]",207,22179,150,22212,72,1,14,43,631.8182780680564,0.59,43,643.62,103.38,0,0,35.12627477398058
14,0,20,2,2,1,0,5,3,3,0,0,0,2,0,0,0,0,"[ 2 ]",150,22212,53,24076,1,412,1,51,748.9982707438377,4.25,51,760.73,1.27,0,0,31.025396205629217
15,2,20,2,2,1,0,6,4,4,0,0,0,2,0,1,1,0,"[ 2,4 ]",53,24076,207,22179,412,9,3,52,763.9982707438377,4.02,52,775.19,-5.19,0,0,31.025396205629217
